Modelo,Accuracy,Precision,Recall,F1
Logistic Regression,0.8310544130405563,0.8626909145225736,0.6947760969594899,0.7696818257537897
Random Forest,0.8286960665713553,0.8852872826348265,0.6644912934949325,0.7591609544915735
